시도,시군구,구분,2014,,,,,,,,,,,,,,,,,,,,2015,,,,,,,,,,,,,,,,,,2016,,,,,,,,,,,,,,,,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,,,,,,,,,,
,,,합계,차대사람,,,,,,차대차,,,,,차량단독,,,,,,철길건널목,,합계,차대사람,,,,,,차대차,,,,,차량단독,,,,,,합계,차대사람,,,,,,차대차,,,,,차량단독,,,,,,철길건널목,,합계,차대사람,,,,,,차대차,,,,,,차량단독,,,,,,,,철길건널목,,합계,차대사람,,,,,,차대차,,,,,,차량단독,,,,,,,철길건널목,
,,중상자수,47,17,10,3,0,1,3,24,3,11,6,4,6,4,,,2,,,,53,18,1,1,1,2,13,31,2,15,6,8,4,0,,,3,1,23,12,5,0,0,0,7,8,2,2,3,1,3,,,,2,1,,,59,23,14,0,,1,8,33,,18,6,7,2,3,1,,,1,1,,,,,53,22,13,2,0,,7,28,0,0,11,6,11,3,0,,,2,1,,,
,,경상자수,58,14,3,1,1,1,8,42,2,22,12,6,2,1,,,1,,,,52,10,2,0,0,1,7,39,4,17,6,12,3,1,,,2,0,67,15,8,2,1,1,3,50,4,15,15,16,2,,,,2,0,,,75,17,5,2,,0,10,56,,17,20,13,6,2,2,,,0,0,,,,,89,22,7,0,1,,14,60,1,2,23,11,23,7,1,,,6,0,,,
,,부상신고자수,12,3,1,0,0,0,2,9,1,6,1,1,0,0,,,0,,,,17,2,0,0,0,0,2,14,1,5,4,4,1,0,,,1,0,18,6,4,0,0,2,0,9,0,5,2,2,3,,,,2,1,,,6,0,0,0,,0,0,5,,1,1,3,0,1,1,,,0,0,,,,,16,4,1,2,0,,1,12,0,0,8,1,3,0,0,,,0,0,,,
강원,합계,사고건수,1450,414,125,25,29,21,214,932,47,406,183,296,104,31,,11,39,23,,,1611,386,192,30,65,29,70,1133,131,596,282,124,92,24,,18,26,24,1674,426,269,26,41,7,83,1144,183,611,260,90,104,20,,8,17,59,,,1658,451,284,33,28,10,96,1119,9,109,676,231,94,88,21,,14,16,23,5,9,,,1612,416,210,57,47,16,86,1076,18,65,641,223,129,120,45,,20,32,17,6,,
,,사망자수,85,39,21,5,2,0,11,22,2,9,5,6,24,8,,5,5,6,,,89,39,28,2,2,2,5,37,4,20,13,0,13,6,,2,1,4,75,39,29,2,2,0,6,21,4,11,4,2,15,1,,1,2,11,,,102,48,29,10,2,0,7,37,1,3,19,12,2,17,5,,4,0,3,2,3,,,94,27,17,3,4,1,2,32,1,5,18,6,2,35,13,,10,4,5,3,,
,,부상자수,1698,384,105,21,28,21,209,1184,55,525,252,352,130,48,,7,39,36,,,1828,352,167,28,64,27,66,1354,155,701,351,147,122,46,,22,27,27,1914,391,241,25,40,7,78,1407,212,743,342,110,116,26,,8,16,66,,,1898,415,260,23,27,11,94,1372,9,137,811,315,100,111,27,,14,18,40,4,8,,,1863,393,195,54,43,15,86,1350,19,81,794,301,155,120,54,,16,33,13,4,,
,,중상자수,687,235,69,13,18,10,125,393,25,184,55,129,59,19,,3,19,18,,,723,221,111,21,38,16,35,419,56,234,94,35,83,29,,16,21,17,696,248,157,17,26,3,45,402,67,207,91,37,46,8,,3,7,28,,,766,252,168,11,17,4,52,450,3,46,289,77,35,64,13,,4,11,28,3,5,,,717,231,130,28,21,8,44,424,6,36,263,71,48,62,35,,10,11,5,1,,
,,경상자수,933,135,35,5,10,11,74,737,28,310,189,210,61,26,,3,19,13,,,1020,120,53,7,24,11,25,867,85,433,245,104,33,16,,6,4,7,1131,133,79,7,13,3,31,937,137,487,244,69,61,16,,4,7,34,,,1049,144,83,10,10,3,38,866,5,87,485,226,63,39,13,,5,7,10,1,3,,,1033,144,61,24,18,6,35,839,13,38,477,213,98,50,19,,3,19,7,2,,
,,부상신고자수,78,14,1,3,0,0,10,54,2,31,8,13,10,3,,1,1,5,,,85,11,3,0,2,0,6,68,14,34,12,8,6,1,,0,2,3,87,10,5,1,1,1,2,68,8,49,7,4,9,2,,1,2,4,,,83,19,9,2,0,4,4,56,1,4,37,12,2,8,1,,5,0,2,0,0,,,113,18,4,2,4,1,7,87,0,7,54,17,9,8,0,,3,3,1,1,,
,춘천시,사고건수,242,82,13,3,2,,64,149,1,85,13,50,11,1,,,6,4,,,300,83,43,7,16,8,9,208,19,130,47,12,9,2,,1,3,3,282,71,42,9,10,,10,202,24,123,43,12,9,3,,1,3,2,,,309,84,50,10,8,4,12,212,3,10,133,45,21,13,2,,2,6,1,,2,,,268,65,35,7,3,2,18,195,1,3,116,45,30,8,4,,1,3,,,,
,,사망자수,12,7,2,2,1,,2,2,0,1,1,0,3,1,,,1,1,,,14,5,5,0,0,0,0,8,1,7,0,0,1,0,,0,0,1,9,7,6,1,0,,0,1,1,0,0,0,1,0,,0,0,1,,,16,12,7,3,1,0,1,2,0,0,2,0,0,2,1,,1,0,0,,0,,,8,0,0,0,0,0,0,5,0,0,4,1,0,3,1,,1,1,,,,
,,부상자수,282,77,11,1,2,,63,191,1,106,28,56,14,0,,,5,9,,,323,78,38,7,16,8,9,235,21,138,64,12,10,2,,2,3,3,321,65,36,9,10,,10,244,28,148,54,14,12,6,,1,4,1,,,348,73,44,7,7,4,11,263,4,11,155,70,23,12,2,,1,6,1,,2,,,313,67,35,7,3,2,20,239,1,5,135,60,38,7,5,,0,2,,,,
,,중상자수,98,46,7,1,0,,38,44,1,21,0,22,8,0,,,3,5,,,119,51,27,5,9,5,5,63,7,36,17,3,5,1,,2,1,1,89,40,23,4,7,,6,47,4,33,8,2,2,0,,0,2,0,,,110,45,30,5,3,2,5,60,2,1,43,8,6,5,1,,0,3,0,,1,,,94,38,19,6,2,1,10,53,1,3,34,8,7,3,2,,0,1,,,,
,,경상자수,165,27,4,0,2,,21,133,0,76,26,31,5,0,,,2,3,,,181,23,10,2,6,3,2,157,14,90,45,8,1,1,,0,0,0,204,21,11,5,2,,3,175,20,102,43,10,8,5,,1,2,0,,,221,25,13,2,4,1,5,190,1,8,105,60,16,6,1,,0,3,1,,1,,,199,28,16,1,1,1,9,167,0,2,89,47,29,4,3,,0,1,,,,
,,부상신고자수,19,4,0,0,0,,4,14,0,9,2,3,1,0,,,0,1,,,23,4,1,0,1,0,2,15,0,12,2,1,4,0,,0,2,2,28,4,2,0,1,,1,22,4,13,3,2,2,1,,0,0,1,,,17,3,1,0,0,1,1,13,1,2,7,2,1,1,0,,1,0,0,,0,,,20,1,0,0,0,0,1,19,0,0,12,5,2,0,0,,0,0,,,,
,원주시,사고건수,286,81,23,7,2,9,40,190,4,63,41,82,15,7,,,7,1,,,294,73,36,2,10,7,18,207,19,101,46,41,14,3,,,8,3,332,87,55,5,7,1,19,234,90,86,48,10,11,,,,3,8,,,344,95,69,5,1,2,18,238,2,6,160,57,13,11,1,,,3,3,,4,,,312,85,44,11,20,1,9,216,1,8,150,47,10,11,2,,,8,1,,,
,,사망자수,9,7,5,0,0,0,2,1,0,0,0,1,1,1,,,0,0,,,11,4,3,0,0,0,1,5,0,1,4,0,2,1,,,1,0,12,7,3,1,1,0,2,4,1,1,1,1,1,,,,0,1,,,14,6,4,0,0,0,2,5,0,0,3,1,1,3,0,,,0,0,,3,,,4,3,2,0,1,0,0,0,0,0,0,0,0,1,0,,,0,1,,,
,,부상자수,359,76,18,8,2,9,39,246,4,86,49,107,37,27,,,9,1,,,331,69,33,2,10,7,17,237,20,121,54,42,25,13,,,9,3,377,80,52,4,6,1,17,285,97,104,72,12,12,,,,3,9,,,399,92,66,5,1,3,17,286,2,7,190,74,13,21,1,,,3,16,,1,,,364,82,42,11,19,1,9,268,1,9,188,60,10,14,6,,,8,0,,,
,,중상자수,130,39,13,3,1,2,20,78,1,28,10,39,13,10,,,2,1,,,112,37,17,0,5,4,11,57,7,32,11,7,18,10,,,5,3,126,49,32,2,5,0,10,74,24,25,20,5,3,,,,1,2,,,152,56,45,2,0,0,9,83,0,3,57,17,6,13,1,,,0,11,,1,,,125,44,26,6,9,0,3,76,0,3,52,16,5,5,4,,,1,0,,,
,,경상자수,214,35,5,4,1,7,18,157,3,51,38,65,22,16,,,6,0,,,208,30,16,2,5,3,4,171,13,85,41,32,7,3,,,4,0,236,29,19,1,1,1,7,198,72,68,51,7,9,,,,2,7,,,219,29,18,2,1,1,7,182,2,3,117,53,7,8,0,,,3,5,,0,,,212,30,13,5,8,0,4,174,1,6,121,42,4,8,2,,,6,0,,,
,,부상신고자수,15,2,0,1,0,0,1,11,0,7,1,3,2,1,,,1,0,,,11,2,0,0,0,0,2,9,0,4,2,3,0,0,,,0,0,15,2,1,1,0,0,0,13,1,11,1,0,0,,,,0,0,,,28,7,3,1,0,2,1,21,0,1,16,4,0,0,0,,,0,0,,0,,,27,8,3,0,2,1,2,18,0,0,15,2,1,1,0,,,1,0,,,
,동해시,사고건수,96,22,9,1,,,12,73,2,27,17,27,1,,,,1,,,,99,31,18,2,8,2,1,66,7,48,11,,2,1,,,,1,96,30,23,3,1,,3,63,1,38,15,9,3,,,,2,1,,,101,37,20,2,2,1,12,62,1,2,42,13,4,2,1,,,1,,,,,,86,25,15,4,2,2,2,59,3,,41,11,4,2,1,,,1,,,,
,,사망자수,3,1,1,0,,,0,2,0,0,1,1,0,,,,0,,,,7,4,3,0,1,0,0,1,1,0,0,,2,1,,,,1,3,2,1,0,0,,1,0,0,0,0,0,1,,,,1,0,,,3,2,2,0,0,0,0,1,0,0,1,0,0,0,0,,,0,,,,,,3,1,1,0,0,0,0,1,0,,1,0,0,1,1,,,0,,,,
,,부상자수,104,22,8,1,,,13,81,2,33,18,28,1,,,,1,,,,98,27,15,2,7,2,1,71,6,54,11,,0,0,,,,0,107,28,22,3,1,,2,74,1,44,19,10,5,,,,1,4,,,117,36,19,2,2,1,12,79,1,4,47,22,5,2,1,,,1,,,,,,92,24,14,4,2,2,2,67,3,,49,11,4,1,0,,,1,,,,
,,중상자수,39,15,5,0,,,10,24,2,14,2,6,0,,,,0,,,,41,17,7,2,6,1,1,24,2,18,4,,0,0,,,,0,43,21,17,2,1,,1,19,0,10,5,4,3,,,,0,3,,,46,22,10,1,2,0,9,23,0,0,20,2,1,1,0,,,1,,,,,,25,13,9,2,1,0,1,12,1,,10,1,0,0,0,,,0,,,,
,,경상자수,62,6,3,0,,,3,55,0,18,15,22,1,,,,1,,,,56,10,8,0,1,1,0,46,4,35,7,,0,0,,,,0,63,7,5,1,0,,1,54,1,33,14,6,2,,,,1,1,,,68,11,7,1,0,0,3,56,1,4,27,20,4,1,1,,,0,,,,,,65,9,4,2,1,2,0,55,2,,39,10,4,1,0,,,1,,,,
,,부상신고자수,3,1,0,1,,,0,2,0,1,1,0,0,,,,0,,,,1,0,0,0,0,0,0,1,0,1,0,,0,0,,,,0,1,0,0,0,0,,0,1,0,1,0,0,0,,,,0,0,,,3,3,2,0,0,1,0,0,0,0,0,0,0,0,0,,,0,,,,,,2,2,1,0,0,0,1,0,0,,0,0,0,0,0,,,0,,,,
,강릉시,사고건수,202,63,21,1,1,3,37,124,5,46,19,54,15,3,,1,6,5,,,202,54,24,7,4,2,17,142,19,57,28,38,6,3,,,1,2,211,72,49,2,4,1,16,130,13,59,39,19,9,1,,,2,6,,,225,72,50,,3,,19,147,,13,90,23,21,6,1,,,1,3,1,,,,212,71,37,5,3,1,25,135,2,7,76,20,30,6,1,,1,3,,1,,
,,사망자수,7,4,3,0,0,0,1,1,0,1,0,0,2,1,,1,0,0,,,10,7,3,1,0,1,2,2,0,1,1,0,1,1,,,0,0,8,6,6,0,0,0,0,1,0,1,0,0,1,0,,,0,1,,,11,6,4,,0,,2,3,,0,2,1,0,2,0,,,0,2,0,,,,14,5,4,1,0,0,0,6,1,1,1,2,1,3,0,,1,1,,1,,
,,부상자수,233,59,18,1,1,3,36,159,6,65,27,61,15,2,,0,7,6,,,224,47,21,6,4,1,15,166,21,64,33,48,11,3,,,1,7,230,67,44,2,4,1,16,154,16,67,48,23,9,1,,,2,6,,,249,67,47,,3,,17,174,,13,107,32,22,8,2,,,1,3,2,,,,227,67,34,4,3,1,25,155,1,6,93,22,33,5,1,,0,4,,0,,
,,중상자수,84,33,9,1,1,2,20,43,4,18,3,18,8,1,,0,4,3,,,73,29,16,6,0,0,7,38,6,15,5,12,6,2,,,1,3,90,36,25,2,1,0,8,50,10,22,10,8,4,0,,,1,3,,,96,37,28,,2,,7,56,,6,37,6,7,3,0,,,1,1,1,,,,95,48,29,2,1,1,15,44,0,3,27,4,10,3,1,,0,2,,0,,
,,경상자수,144,25,9,0,0,1,15,114,2,47,24,41,5,1,,0,3,1,,,147,17,5,0,4,1,7,125,15,49,25,36,5,1,,,0,4,139,31,19,0,3,1,8,103,6,44,38,15,5,1,,,1,3,,,152,30,19,,1,,10,117,,7,69,26,15,5,2,,,0,2,1,,,,127,19,5,2,2,0,10,106,1,3,62,18,22,2,0,,0,2,,0,,
,,부상신고자수,5,1,0,0,0,0,1,2,0,0,0,2,2,0,,0,0,2,,,4,1,0,0,0,0,1,3,0,0,3,0,0,0,,,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,,,0,0,,,1,0,0,,0,,0,1,,0,1,0,0,0,0,,,0,0,0,,,,5,0,0,0,0,0,0,5,0,0,4,0,1,0,0,,0,0,,0,,
,속초시,사고건수,65,27,11,3,3,5,5,37,1,24,12,,1,,,,1,,,,85,24,11,1,5,3,4,58,5,40,13,,3,1,,,1,1,69,23,11,,2,3,7,46,3,35,7,1,,,,,,,,,70,31,19,3,3,1,5,39,1,,25,11,2,,,,,,,,,,,88,27,15,2,3,3,4,59,2,1,41,12,3,2,1,,1,,,,,
,,사망자수,4,2,2,0,0,0,0,2,0,2,0,,0,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,5,1,1,,0,0,0,4,0,3,1,0,,,,,,,,,4,2,1,1,0,0,0,2,0,,0,2,0,,,,,,,,,,,3,1,1,0,0,0,0,2,0,0,1,1,0,0,0,,0,,,,,
,,부상자수,62,25,9,3,3,5,5,36,1,23,12,,1,,,,1,,,,106,25,11,1,6,3,4,78,7,52,19,,3,1,,,1,1,71,23,10,,2,3,8,48,3,37,7,1,,,,,,,,,75,29,18,2,3,1,5,46,1,,32,11,2,,,,,,,,,,,94,27,15,2,3,3,4,64,2,1,44,12,5,3,1,,2,,,,,
,,중상자수,31,18,5,3,2,3,5,13,0,7,6,,0,,,,0,,,,37,15,6,1,2,3,3,19,2,15,2,,3,1,,,1,1,26,14,7,,1,2,4,12,0,10,2,0,,,,,,,,,33,17,12,1,1,1,2,16,0,,10,5,1,,,,,,,,,,,43,15,10,0,2,2,1,26,1,1,20,2,2,2,1,,1,,,,,
,,경상자수,30,7,4,0,1,2,0,22,0,16,6,,1,,,,1,,,,67,9,5,0,3,0,1,58,5,36,17,,0,0,,,0,0,43,8,2,,1,1,4,35,3,26,5,1,,,,,,,,,42,12,6,1,2,0,3,30,1,,22,6,1,,,,,,,,,,,51,12,5,2,1,1,3,38,1,0,24,10,3,1,0,,1,,,,,
,,부상신고자수,1,0,0,0,0,0,0,1,1,0,0,,0,,,,0,,,,2,1,0,0,1,0,0,1,0,1,0,,0,0,,,0,0,2,1,1,,0,0,0,1,0,1,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,
,태백시,사고건수,39,17,9,2,1,2,3,20,,8,5,7,2,,,1,1,,,,56,14,6,1,,3,4,38,8,17,10,3,4,2,,,1,1,55,16,10,,,,6,38,3,24,10,1,1,,,,1,,,,43,12,9,,,,3,31,,,26,3,2,,,,,,,,,,,58,22,9,9,1,2,1,27,1,2,15,9,,9,5,,1,,2,1,,
,,사망자수,2,2,1,0,0,0,1,0,,0,0,0,0,,,0,0,,,,4,1,0,0,,1,0,2,0,1,1,0,1,1,,,0,0,1,1,1,,,,0,0,0,0,0,0,0,,,,0,,,,0,0,0,,,,0,0,,,0,0,0,,,,,,,,,,,5,1,0,1,0,0,0,0,0,0,0,0,,4,1,,0,,2,1,,
,,부상자수,39,15,8,2,1,2,2,22,,8,7,7,2,,,1,1,,,,76,14,7,1,,2,4,55,14,23,14,4,7,5,,,1,1,61,15,9,,,,6,45,5,28,11,1,1,,,,1,,,,54,12,9,,,,3,42,,,37,3,2,,,,,,,,,,,60,21,9,8,1,2,1,31,1,2,17,11,,8,6,,2,,0,0,,
,,중상자수,17,7,4,1,0,1,1,9,,3,2,4,1,,,0,1,,,,22,7,5,1,,1,0,14,2,9,3,0,1,0,,,1,0,22,8,5,,,,3,13,5,6,2,0,1,,,,1,,,,20,7,4,,,,3,13,,,11,1,1,,,,,,,,,,,28,15,7,4,1,2,1,7,1,1,4,1,,6,5,,1,,0,0,,
,,경상자수,17,6,3,0,1,1,1,11,,4,4,3,0,,,0,0,,,,35,5,1,0,,1,3,25,5,9,9,2,5,5,,,0,0,36,7,4,,,,3,29,0,20,8,1,0,,,,0,,,,32,4,4,,,,0,28,,,25,2,1,,,,,,,,,,,31,5,2,3,0,0,0,24,0,1,13,10,,2,1,,1,,0,0,,
,,부상신고자수,5,2,1,1,0,0,0,2,,1,1,0,1,,,1,0,,,,19,2,1,0,,0,1,16,7,5,2,2,1,0,,,0,1,3,0,0,,,,0,3,0,2,1,0,0,,,,0,,,,2,1,1,,,,0,1,,,1,0,0,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,,0,0,,0,,0,0,,
,삼척시,사고건수,92,22,6,2,5,,9,56,4,27,16,9,14,5,,2,6,1,,,83,13,9,,2,,2,62,6,34,16,6,8,3,,2,1,2,117,20,12,2,3,,3,77,8,45,18,6,20,6,,2,,12,,,96,15,8,1,1,2,3,70,,7,43,18,2,11,5,,4,,2,,,,,106,21,10,4,2,1,4,61,1,8,36,13,3,24,12,,4,3,4,1,,
,,사망자수,4,0,0,0,0,,0,2,1,0,0,1,2,1,,0,1,0,,,3,2,2,,0,,0,1,0,0,1,0,0,0,,0,0,0,3,2,2,0,0,,0,0,0,0,0,0,1,0,,0,,1,,,6,0,0,0,0,0,0,2,,0,2,0,0,4,2,,2,,0,,,,,4,0,0,0,0,0,0,1,0,0,1,0,0,3,1,,1,0,0,1,,
,,부상자수,105,22,6,2,5,,9,70,6,32,23,9,13,4,,3,5,1,,,95,12,7,,2,,3,72,8,41,16,7,11,5,,3,1,2,145,18,10,2,3,,3,105,10,60,23,12,22,6,,2,,14,,,116,16,9,1,1,2,3,87,,8,49,28,2,13,9,,2,,2,,,,,131,21,10,4,2,1,4,86,1,11,49,22,3,24,12,,3,5,4,0,,
,,중상자수,47,15,5,1,3,,6,26,3,14,6,3,6,2,,1,2,1,,,39,9,7,,1,,1,23,3,13,5,2,7,2,,3,1,1,49,10,7,2,1,,0,31,3,17,9,2,8,3,,1,,4,,,46,7,3,1,1,1,1,32,,4,19,8,1,7,5,,0,,2,,,,,52,8,4,1,2,0,1,35,0,4,22,8,1,9,5,,2,1,1,0,,
,,경상자수,58,7,1,1,2,,3,44,3,18,17,6,7,2,,2,3,0,,,54,3,0,,1,,2,47,4,27,11,5,4,3,,0,0,1,90,8,3,0,2,,3,70,7,39,14,10,12,2,,1,,9,,,69,9,6,0,0,1,2,54,,4,29,20,1,6,4,,2,,0,,,,,75,13,6,3,0,1,3,47,1,6,26,13,1,15,7,,1,4,3,0,,
,,부상신고자수,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,,,2,0,0,,0,,0,2,1,1,0,0,0,0,,0,0,0,6,0,0,0,0,,0,4,0,4,0,0,2,1,,0,,1,,,1,0,0,0,0,0,0,1,,0,1,0,0,0,0,,0,,0,,,,,4,0,0,0,0,0,0,4,0,1,1,1,1,0,0,,0,0,0,0,,
,홍천군,사고건수,69,14,2,,2,,10,49,1,8,3,37,6,2,,1,2,1,,,80,21,9,2,5,3,2,50,9,19,16,6,9,1,,1,4,3,79,28,23,,3,,2,45,9,29,3,4,6,,,,,6,,,78,22,11,3,3,,5,45,1,15,10,7,12,11,1,,,1,6,1,2,,,90,16,12,,,,4,57,2,6,18,8,23,17,6,,1,4,4,2,,
,,사망자수,5,1,0,,1,,0,1,0,0,0,1,3,1,,1,1,0,,,5,2,1,1,0,0,0,2,1,1,0,0,1,0,,0,0,1,4,2,2,,0,,0,2,1,1,0,0,0,,,,,0,,,5,1,0,0,0,,1,3,1,1,1,0,0,1,0,,,0,0,1,0,,,5,0,0,,,,0,1,0,0,0,1,0,4,2,,2,0,0,0,,
,,부상자수,81,13,2,,1,,10,62,1,11,6,44,6,2,,0,3,1,,,91,20,9,1,5,3,2,62,10,23,18,11,9,1,,2,4,2,89,27,21,,4,,2,53,9,37,3,4,9,,,,,9,,,92,24,11,3,3,,7,54,0,20,14,7,13,14,1,,,2,7,0,4,,,111,16,12,,,,4,75,2,7,25,10,31,20,8,,0,4,5,3,,
,,중상자수,30,8,2,,0,,6,18,0,5,1,12,4,1,,0,2,1,,,44,15,7,1,5,1,1,21,5,6,8,2,8,0,,2,4,2,31,16,11,,3,,2,10,1,7,0,2,5,,,,,5,,,42,14,8,0,3,,3,18,0,5,8,1,4,10,1,,,2,5,0,2,,,50,11,9,,,,2,29,0,5,10,5,9,10,4,,0,1,4,1,,
,,경상자수,48,5,0,,1,,4,41,1,6,5,29,2,1,,0,1,0,,,44,5,2,0,0,2,1,39,5,16,9,9,0,0,,0,0,0,57,11,10,,1,,0,42,7,30,3,2,4,,,,,4,,,47,9,3,2,0,,4,35,0,14,6,6,9,3,0,,,0,1,0,2,,,55,5,3,,,,2,44,2,2,15,5,20,6,4,,0,1,0,1,,
,,부상신고자수,3,0,0,,0,,0,3,0,0,0,3,0,0,,0,0,0,,,3,0,0,0,0,0,0,2,0,1,1,0,1,1,,0,0,0,1,0,0,,0,,0,1,1,0,0,0,0,,,,,0,,,3,1,0,1,0,,0,1,0,1,0,0,0,1,0,,,0,1,0,0,,,6,0,0,,,,0,2,0,0,0,0,2,4,0,,0,2,1,1,,
,횡성군,사고건수,50,14,8,1,2,,3,30,9,9,7,5,6,1,,3,2,,,,54,4,3,,1,,,42,4,25,12,1,8,1,,6,1,,60,12,6,,2,,4,41,5,18,11,7,7,,,,1,6,,,47,14,6,3,1,,4,28,,2,15,6,5,5,2,,,1,2,,,,,49,12,5,3,1,1,2,29,,3,13,5,8,8,2,,4,1,,1,,
,,사망자수,6,3,2,1,0,,0,2,1,0,1,0,1,0,,1,0,,,,5,1,1,,0,,,3,0,3,0,0,1,1,,0,0,,5,2,2,,0,,0,2,0,1,0,1,1,,,,0,1,,,7,4,1,2,1,,0,3,,0,0,2,1,0,0,,,0,0,,,,,6,0,0,0,0,0,0,3,,0,3,0,0,3,0,,3,0,,0,,
,,부상자수,52,13,6,0,2,,5,34,8,11,10,5,5,1,,2,2,,,,65,3,2,,1,,,53,4,32,16,1,9,0,,8,1,,73,10,4,,2,,4,56,6,20,23,7,7,,,,1,6,,,48,10,5,1,0,,4,33,,2,19,7,5,5,2,,,1,2,,,,,53,12,5,3,1,1,2,36,,3,12,9,12,5,2,,1,1,,1,,
,,중상자수,31,12,5,0,2,,5,16,2,8,4,2,3,0,,1,2,,,,31,3,2,,1,,,23,4,10,8,1,5,0,,4,1,,28,4,2,,1,,1,21,2,10,5,4,3,,,,0,3,,,29,8,5,0,0,,3,18,,2,12,2,2,3,1,,,1,1,,,,,25,10,4,2,1,1,2,12,,1,5,3,3,3,2,,1,0,,0,,
,,경상자수,21,1,1,0,0,,0,18,6,3,6,3,2,1,,1,0,,,,34,0,0,,0,,,30,0,22,8,0,4,0,,4,0,,42,5,2,,1,,2,35,4,10,18,3,2,,,,0,2,,,18,2,0,1,0,,1,15,,0,7,5,3,1,1,,,0,0,,,,,27,2,1,1,0,0,0,23,,2,7,5,9,2,0,,0,1,,1,,
,,부상신고자수,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,,0,,,0,0,0,0,0,0,0,,0,0,,3,1,0,,0,,1,0,0,0,0,0,2,,,,1,1,,,1,0,0,0,0,,0,0,,0,0,0,0,1,0,,,0,1,,,,,1,0,0,0,0,0,0,1,,0,0,1,0,0,0,,0,0,,0,,
,영월군,사고건수,32,9,2,1,1,,5,21,2,10,4,5,2,1,,,,1,,,49,12,6,,2,1,3,31,8,17,3,3,6,2,,2,1,1,61,13,8,1,1,,3,42,,31,9,2,6,,,2,1,3,,,51,11,8,,,,3,34,,4,19,9,2,6,1,,5,,,,,,,69,11,4,1,4,,2,54,,4,36,10,4,4,,,3,,1,,,
,,사망자수,4,3,1,1,0,,1,1,0,1,0,0,0,0,,,,0,,,4,3,2,,1,0,0,0,0,0,0,0,1,0,,1,0,0,7,2,1,0,0,,1,2,,1,1,0,3,,,1,1,1,,,3,2,1,,,,1,0,,0,0,0,0,1,0,,1,,,,,,,8,1,0,0,1,,0,5,,2,2,0,1,2,,,1,,1,,,
,,부상자수,35,6,1,0,1,,4,27,2,12,5,8,2,1,,,,1,,,64,9,4,,1,1,3,42,11,24,3,4,13,10,,1,1,1,70,11,7,1,1,,2,55,,42,10,3,4,,,1,0,3,,,58,9,7,,,,2,41,,5,24,10,2,8,1,,7,,,,,,,81,10,4,1,3,,2,67,,7,42,15,3,4,,,4,,0,,,
,,중상자수,17,4,1,0,0,,3,12,0,5,4,3,1,0,,,,1,,,40,7,3,,1,1,2,22,5,15,1,1,11,8,,1,1,1,30,10,6,1,1,,2,19,,13,4,2,1,,,0,0,1,,,21,7,5,,,,2,11,,1,7,3,0,3,0,,3,,,,,,,28,4,3,1,0,,0,23,,1,15,4,3,1,,,1,,0,,,
,,경상자수,15,1,0,0,1,,0,13,2,5,1,5,1,1,,,,0,,,17,2,1,,0,0,1,13,3,6,2,2,2,2,,0,0,0,28,1,1,0,0,,0,25,,20,5,0,2,,,0,0,2,,,15,0,0,,,,0,15,,4,8,2,1,0,0,,0,,,,,,,23,3,1,0,1,,1,20,,3,11,6,0,0,,,0,,0,,,
,,부상신고자수,3,1,0,0,0,,1,2,0,2,0,0,0,0,,,,0,,,7,0,0,,0,0,0,7,3,3,0,1,0,0,,0,0,0,12,0,0,0,0,,0,11,,9,1,1,1,,,1,0,0,,,22,2,2,,,,0,15,,0,9,5,1,5,1,,4,,,,,,,30,3,0,0,2,,1,24,,3,16,5,0,3,,,3,,0,,,
,평창군,사고건수,55,9,1,1,1,,6,39,7,18,9,5,7,3,,2,1,1,,,48,10,8,1,1,,,33,4,17,11,1,5,2,,,1,2,74,11,5,,4,,2,55,4,30,19,2,8,4,,1,1,2,,,71,14,8,,1,,5,46,,11,26,8,1,11,4,,1,2,3,1,,,,57,11,3,1,1,1,5,39,1,6,21,9,2,7,4,,,1,2,,,
,,사망자수,7,1,0,0,0,,1,3,0,1,1,1,3,1,,2,0,0,,,5,4,4,0,0,,,1,0,1,0,0,0,0,,,0,0,2,1,0,,0,,1,1,0,0,1,0,0,0,,0,0,0,,,12,3,3,,0,,0,7,,0,2,5,0,2,0,,0,0,1,1,,,,5,4,1,0,0,1,2,0,0,0,0,0,0,1,1,,,0,0,,,
,,부상자수,73,9,1,1,1,,6,54,12,24,12,6,10,2,,0,1,7,,,51,6,4,1,1,,,38,5,17,15,1,7,4,,,1,2,94,10,5,,4,,1,73,8,40,23,2,11,5,,2,1,3,,,93,11,5,,1,,5,69,,20,33,15,1,13,7,,1,3,2,0,,,,74,7,2,1,1,0,3,57,3,7,30,14,3,10,7,,,1,2,,,
