시도,시군구,구분,2014,,,,,,,,,,,,,2015,,,,,,,,,,,,,2016,,,,,,,,,,,,,2017,,,,,,,,,,,,,2018,,,,,,,,,,,,
,,,합계,0시~2시,2시~4시,4시~6시,6시~8시,8시~10시,10시~12시,12시~14시,14시~16시,16시~18시,18시~20시,20시~22시,22시~24시,합계,0시~2시,2시~4시,4시~6시,6시~8시,8시~10시,10시~12시,12시~14시,14시~16시,16시~18시,18시~20시,20시~22시,22시~24시,합계,0시~2시,2시~4시,4시~6시,6시~8시,8시~10시,10시~12시,12시~14시,14시~16시,16시~18시,18시~20시,20시~22시,22시~24시,합계,0시~2시,2시~4시,4시~6시,6시~8시,8시~10시,10시~12시,12시~14시,14시~16시,16시~18시,18시~20시,20시~22시,22시~24시,합계,0시~2시,2시~4시,4시~6시,6시~8시,8시~10시,10시~12시,12시~14시,14시~16시,16시~18시,18시~20시,20시~22시,22시~24시
,,사망자수,3,,,,0,0,0,2,0,1,0,,,2,,,0,1,1,0,0,0,0,0,0,,4,,,0,0,1,1,0,0,0,0,2,,3,0,,,0,0,1,0,0,1,0,1,0,7,0,,0,0,1,0,1,1,0,2,2,
,,부상자수,33,,,,3,3,5,6,6,8,2,,,55,,,1,4,11,7,10,9,5,5,3,,36,,,1,4,2,1,8,4,6,6,4,,51,1,,,5,8,7,13,7,5,2,1,2,37,1,,1,1,3,2,9,5,8,3,4,
,,중상자수,14,,,,0,3,1,4,1,5,0,,,28,,,1,2,7,3,6,3,4,0,2,,12,,,1,1,1,0,3,1,3,1,1,,28,0,,,2,3,0,12,6,1,1,1,2,21,1,,0,1,2,0,7,3,4,2,1,
,,경상자수,19,,,,3,0,4,2,5,3,2,,,24,,,0,2,4,3,4,5,1,5,0,,22,,,0,3,1,0,5,3,3,4,3,,23,1,,,3,5,7,1,1,4,1,0,0,16,0,,1,0,1,2,2,2,4,1,3,
,,부상신고자수,0,,,,0,0,0,0,0,0,0,,,3,,,0,0,0,1,0,1,0,0,1,,2,,,0,0,0,1,0,0,0,1,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,
,철원군,사고건수,42,1,,,4,5,6,4,6,6,7,2,1,55,,1,,3,6,6,5,8,8,12,4,2,55,,,2,3,6,10,9,12,7,3,1,2,48,,,2,2,11,2,8,8,5,6,3,1,43,,,1,3,3,8,8,8,5,4,2,1
,,사망자수,5,1,,,0,0,1,1,0,1,1,0,0,6,,0,,0,0,2,1,0,0,1,2,0,3,,,0,0,1,1,0,0,1,0,0,0,8,,,0,0,2,0,2,0,0,2,2,0,3,,,0,1,0,0,0,1,1,0,0,0
,,부상자수,46,0,,,4,8,6,6,7,5,7,2,1,59,,1,,3,8,5,5,12,8,12,3,2,62,,,2,3,7,12,11,13,7,3,2,2,54,,,2,2,15,3,8,9,6,7,1,1,46,,,1,3,3,9,8,9,4,6,2,1
,,중상자수,25,0,,,2,4,3,4,2,5,4,1,0,32,,0,,2,2,3,2,6,5,10,2,0,36,,,2,3,6,3,5,9,2,2,2,2,41,,,2,2,12,1,7,6,5,5,0,1,25,,,1,1,1,7,5,3,2,4,0,1
,,경상자수,21,0,,,2,4,3,2,5,0,3,1,1,26,,1,,1,6,2,3,6,3,1,1,2,25,,,0,0,1,9,5,4,5,1,0,0,13,,,0,0,3,2,1,3,1,2,1,0,21,,,0,2,2,2,3,6,2,2,2,0
,,부상신고자수,0,0,,,0,0,0,0,0,0,0,0,0,1,,0,,0,0,0,0,0,0,1,0,0,1,,,0,0,0,0,1,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
,화천군,사고건수,28,,,,2,2,1,5,5,7,5,1,,15,,,,,2,4,2,4,1,2,,,24,,,,2,4,3,4,3,2,5,,1,21,,,,2,3,4,3,5,3,1,,,18,,,,1,3,2,5,3,1,3,,
,,사망자수,3,,,,0,0,1,0,0,0,1,1,,1,,,,,0,0,0,1,0,0,,,3,,,,0,0,0,2,0,0,1,,0,0,,,,0,0,0,0,0,0,0,,,1,,,,0,0,0,1,0,0,0,,
,,부상자수,29,,,,3,3,0,6,6,7,4,0,,14,,,,,2,4,2,3,1,2,,,26,,,,2,7,3,4,3,2,4,,1,22,,,,2,4,4,3,5,3,1,,,24,,,,1,4,2,5,4,4,4,,
,,중상자수,16,,,,1,1,0,4,4,4,2,0,,5,,,,,1,2,0,1,0,1,,,13,,,,1,4,1,0,1,2,3,,1,7,,,,1,0,1,0,2,2,1,,,17,,,,1,2,2,3,2,4,3,,
,,경상자수,10,,,,2,2,0,1,2,2,1,0,,8,,,,,1,1,2,2,1,1,,,10,,,,1,3,2,1,2,0,1,,0,15,,,,1,4,3,3,3,1,0,,,7,,,,0,2,0,2,2,0,1,,
,,부상신고자수,3,,,,0,0,0,1,0,1,1,0,,1,,,,,0,1,0,0,0,0,,,3,,,,0,0,0,3,0,0,0,,0,0,,,,0,0,0,0,0,0,0,,,0,,,,0,0,0,0,0,0,0,,
,양구군,사고건수,27,,,,2,3,,6,7,3,3,1,2,31,,,,2,4,4,6,3,2,8,2,,22,,,1,1,5,4,4,3,2,2,,,25,,,,,3,6,4,4,4,4,,,21,,,,1,5,3,1,3,4,4,,
,,사망자수,3,,,,0,0,,0,1,1,1,0,0,3,,,,0,1,0,0,0,0,2,0,,1,,,0,0,0,0,1,0,0,0,,,2,,,,,0,0,1,0,0,1,,,4,,,,0,1,0,0,0,1,2,,
,,부상자수,35,,,,8,3,,7,10,2,2,1,2,30,,,,2,3,4,7,4,2,6,2,,24,,,1,1,6,4,3,5,2,2,,,29,,,,,3,10,4,4,5,3,,,19,,,,1,4,3,1,4,4,2,,
,,중상자수,18,,,,3,2,,6,5,2,0,0,0,20,,,,2,3,3,3,1,2,5,1,,12,,,1,0,1,3,2,2,1,2,,,19,,,,,2,7,3,3,2,2,,,5,,,,0,0,0,1,0,2,2,,
,,경상자수,12,,,,5,1,,1,2,0,1,1,1,9,,,,0,0,1,3,3,0,1,1,,10,,,0,1,4,1,1,3,0,0,,,10,,,,,1,3,1,1,3,1,,,13,,,,1,4,2,0,4,2,0,,
,,부상신고자수,5,,,,0,0,,0,3,0,1,0,1,1,,,,0,0,0,1,0,0,0,0,,2,,,0,0,1,0,0,0,1,0,,,0,,,,,0,0,0,0,0,0,,,1,,,,0,0,1,0,0,0,0,,
,인제군,사고건수,23,,,1,1,1,3,3,8,1,4,1,,19,,1,,,,3,6,6,1,2,,,43,,,,4,8,7,5,7,2,6,3,1,31,,,,3,1,7,10,4,3,1,2,,22,,,,1,2,6,1,4,3,4,,1
,,사망자수,2,,,0,0,0,0,0,2,0,0,0,,2,,0,,,,0,2,0,0,0,,,2,,,,2,0,0,0,0,0,0,0,0,3,,,,0,0,1,1,0,0,0,1,,3,,,,0,0,3,0,0,0,0,,0
,,부상자수,31,,,1,2,1,3,5,9,1,8,1,,34,,1,,,,3,6,21,1,2,,,51,,,,2,8,9,8,10,2,7,4,1,34,,,,4,1,7,11,5,3,1,2,,31,,,,1,2,6,1,5,7,7,,2
,,중상자수,18,,,1,1,1,1,2,7,1,3,1,,15,,1,,,,1,5,6,0,2,,,22,,,,2,3,4,3,5,1,1,2,1,16,,,,3,1,3,5,0,1,1,2,,16,,,,1,1,5,1,3,3,1,,1
,,경상자수,11,,,0,1,0,2,3,2,0,3,0,,14,,0,,,,2,1,10,1,0,,,27,,,,0,4,5,5,5,0,6,2,0,18,,,,1,0,4,6,5,2,0,0,,15,,,,0,1,1,0,2,4,6,,1
,,부상신고자수,2,,,0,0,0,0,0,0,0,2,0,,5,,0,,,,0,0,5,0,0,,,2,,,,0,1,0,0,0,1,0,0,0,0,,,,0,0,0,0,0,0,0,0,,0,,,,0,0,0,0,0,0,0,,0
,고성군,사고건수,37,,,,2,9,2,6,6,4,6,,2,43,,1,1,2,7,4,10,10,6,2,,,29,,,1,3,4,6,4,5,1,5,,,23,,,,,1,5,3,1,4,4,2,3,39,,,3,2,4,8,5,1,9,4,2,1
,,사망자수,5,,,,0,2,0,1,0,0,1,,1,4,,0,0,0,0,0,2,2,0,0,,,1,,,0,1,0,0,0,0,0,0,,,3,,,,,0,0,0,0,0,1,0,2,5,,,2,0,1,0,1,0,1,0,0,0
,,부상자수,44,,,,2,7,3,14,7,4,6,,1,50,,2,1,2,7,4,13,10,9,2,,,39,,,1,2,7,11,5,5,2,6,,,20,,,,,1,5,3,1,4,3,2,1,49,,,1,4,3,13,8,1,9,5,4,1
,,중상자수,20,,,,1,5,1,6,4,2,1,,0,21,,0,0,2,3,2,5,3,5,1,,,12,,,1,0,0,5,1,1,0,4,,,7,,,,,1,2,0,0,2,0,1,1,18,,,1,1,2,4,6,0,3,0,1,0
,,경상자수,24,,,,1,2,2,8,3,2,5,,1,29,,2,1,0,4,2,8,7,4,1,,,25,,,0,2,7,5,4,3,2,2,,,11,,,,,0,3,3,1,1,3,0,0,26,,,0,2,1,9,2,1,5,3,3,0
,,부상신고자수,0,,,,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,,2,,,0,0,0,1,0,1,0,0,,,2,,,,,0,0,0,0,1,0,1,0,5,,,0,1,0,0,0,0,1,2,0,1
,양양군,사고건수,36,1,,1,6,6,2,4,11,1,1,3,,53,1,,,4,6,12,10,8,6,4,,2,33,,,1,1,3,5,5,7,6,1,4,,32,,,1,1,5,3,4,5,7,4,1,1,39,,,,2,5,8,6,7,4,5,1,1
,,사망자수,1,0,,0,0,0,1,0,0,0,0,0,,3,0,,,1,0,0,0,1,1,0,,0,2,,,0,0,0,0,0,0,1,0,1,,2,,,0,0,0,0,0,0,1,1,0,0,6,,,,1,2,0,0,2,0,1,0,0
,,부상자수,55,1,,1,17,8,1,5,15,1,3,3,,62,1,,,8,6,13,11,8,9,4,,2,38,,,1,1,5,6,8,7,5,2,3,,39,,,1,1,8,5,5,8,6,3,1,1,57,,,,1,3,20,11,6,5,5,4,2
,,중상자수,24,0,,1,4,2,0,3,9,0,3,2,,19,0,,,3,2,6,5,3,0,0,,0,12,,,1,1,2,2,1,1,2,0,2,,12,,,0,0,6,1,1,2,2,0,0,0,21,,,,0,1,4,4,4,3,2,3,0
,,경상자수,22,1,,0,4,6,1,2,6,1,0,1,,43,1,,,5,4,7,6,5,9,4,,2,24,,,0,0,3,3,7,5,3,2,1,,27,,,1,1,2,4,4,6,4,3,1,1,32,,,,1,2,13,6,2,2,3,1,2
,,부상신고자수,9,0,,0,9,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,0,0,,0,2,,,0,0,0,1,0,1,0,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,4,,,,0,0,3,1,0,0,0,0,0
충북,합계,사고건수,1477,12,8,32,84,177,250,223,213,203,171,87,17,1613,10,7,47,104,240,260,222,220,243,165,68,27,1707,12,13,39,118,215,260,261,249,228,206,73,33,1817,18,8,33,114,242,267,275,267,262,195,105,31,1936,12,14,48,141,254,298,258,305,269,213,93,31
,,사망자수,96,5,0,4,7,8,6,18,9,11,17,9,2,101,0,0,6,16,6,12,17,6,17,13,7,1,97,0,1,4,5,7,18,11,12,15,13,7,4,89,1,2,4,3,11,10,15,8,7,18,9,1,85,0,3,1,19,6,7,11,11,7,12,6,2
,,부상자수,1625,9,8,29,83,207,288,266,230,216,183,91,15,1782,10,7,47,129,274,288,246,263,258,172,62,26,1887,14,12,39,134,245,284,297,282,250,224,74,32,2029,17,7,32,133,275,308,315,308,295,198,108,33,2138,12,14,54,140,289,337,305,343,295,227,92,30
,,중상자수,852,7,4,15,39,118,153,144,117,117,88,42,8,849,0,4,24,68,133,132,118,129,126,79,27,9,836,5,6,14,69,107,128,137,124,103,88,37,18,835,8,2,12,58,119,137,115,125,117,87,40,15,914,4,7,24,64,127,147,132,147,114,101,40,7
,,경상자수,720,2,4,12,42,83,125,116,106,90,87,46,7,826,9,3,17,55,121,136,111,126,119,82,31,16,971,9,6,22,59,129,143,146,145,131,131,36,14,1089,6,5,19,72,144,152,179,169,163,101,62,17,1149,8,7,27,74,147,177,165,181,173,117,50,23
,,부상신고자수,53,0,0,2,2,6,10,6,7,9,8,3,0,107,1,0,6,6,20,20,17,8,13,11,4,1,80,0,0,3,6,9,13,14,13,16,5,1,0,105,3,0,1,3,12,19,21,14,15,10,6,1,75,0,0,3,2,15,13,8,15,8,9,2,0
,청주시,사고건수,541,5,4,15,41,71,92,67,65,72,62,41,6,672,7,6,20,44,106,102,90,82,93,71,37,14,693,6,7,21,51,92,99,97,96,90,89,32,13,741,8,4,22,49,93,107,107,95,112,77,47,20,785,7,9,29,59,98,107,88,129,118,76,43,22
,,사망자수,31,2,0,0,4,3,2,5,1,5,5,3,1,29,0,0,4,10,2,2,4,1,1,2,3,0,24,0,0,1,2,2,5,0,3,2,6,3,0,29,1,1,2,0,4,3,3,1,5,5,3,1,30,0,2,0,10,3,2,5,3,1,2,1,1
,,부상자수,583,5,4,15,38,73,110,83,70,70,63,47,5,710,7,6,19,40,114,111,94,90,102,78,35,14,764,7,7,23,56,107,109,113,103,101,93,31,14,801,7,4,23,59,97,115,123,102,117,80,52,22,863,7,8,33,59,118,114,111,142,130,77,43,21
,,중상자수,272,4,3,8,17,41,55,33,32,32,31,13,3,321,0,3,9,16,51,50,48,41,49,34,16,4,321,1,4,9,24,41,47,56,45,43,31,14,6,315,2,1,7,26,42,58,44,38,43,29,16,9,321,3,4,12,24,48,45,42,51,44,27,16,5
,,경상자수,303,1,1,7,20,30,55,49,37,37,31,33,2,370,7,3,9,24,59,56,42,47,51,43,19,10,419,6,3,14,30,64,59,53,52,55,59,16,8,458,3,3,15,32,52,56,75,58,70,48,33,13,525,4,4,21,35,66,68,67,85,85,48,26,16
,,부상신고자수,8,0,0,0,1,2,0,1,1,1,1,1,0,19,0,0,1,0,4,5,4,2,2,1,0,0,24,0,0,0,2,2,3,4,6,3,3,1,0,28,2,0,1,1,3,1,4,6,4,3,3,0,17,0,0,0,0,4,1,2,6,1,2,1,0
,충주시,사고건수,224,,2,8,12,22,42,29,32,27,25,21,4,270,,,16,23,32,45,34,43,43,22,7,5,258,1,1,7,19,27,47,34,33,48,30,8,3,278,5,1,3,11,44,35,43,45,39,27,22,3,295,1,3,8,23,38,36,47,49,33,39,16,2
,,사망자수,14,,0,1,1,0,0,3,2,0,3,4,0,18,,,1,3,0,5,3,1,2,2,0,1,21,0,0,1,1,1,5,3,1,6,2,1,0,21,0,0,1,0,4,2,3,3,2,4,2,0,12,0,0,1,1,1,0,1,4,1,3,0,0
,,부상자수,242,,2,7,13,24,48,33,38,29,25,19,4,310,,,17,23,41,53,37,58,48,22,7,4,279,1,1,6,20,35,49,40,38,46,31,8,4,312,5,1,2,12,48,39,54,50,48,28,22,3,315,1,5,8,23,41,40,50,55,34,40,16,2
,,중상자수,137,,0,4,6,15,28,22,15,16,15,15,1,153,,,5,10,24,30,14,29,25,12,2,2,110,1,1,0,12,14,20,14,13,14,12,5,4,108,3,0,2,4,16,14,17,21,13,9,8,1,134,0,3,6,8,17,16,20,25,13,19,6,1
,,경상자수,87,,2,2,7,8,13,9,21,11,8,3,3,109,,,8,7,8,15,16,24,18,8,3,2,135,0,0,4,6,16,22,22,21,24,17,3,0,161,1,1,0,8,30,17,26,23,27,15,11,2,158,1,2,1,13,20,21,27,24,20,19,9,1
,,부상신고자수,18,,0,1,0,1,7,2,2,2,2,1,0,48,,,4,6,9,8,7,5,5,2,2,0,34,0,0,2,2,5,7,4,4,8,2,0,0,43,1,0,0,0,2,8,11,6,8,4,3,0,23,0,0,1,2,4,3,3,6,1,2,1,0
,제천시,사고건수,188,2,,2,6,17,29,32,36,29,25,9,1,159,2,,2,9,26,30,24,21,16,20,7,2,214,1,1,4,14,34,29,39,31,22,24,8,7,209,2,1,3,12,25,32,33,36,27,27,8,3,234,1,1,7,18,35,30,32,33,33,31,10,3
,,사망자수,8,0,,1,0,0,0,2,1,2,2,0,0,5,0,,0,0,0,2,2,0,0,0,1,0,11,0,0,1,1,1,1,1,0,1,2,2,1,6,0,1,1,0,0,0,1,0,0,2,1,0,8,0,1,0,3,0,1,0,0,1,2,0,0
,,부상자수,213,2,,1,7,21,31,41,35,35,29,10,1,184,2,,2,11,31,33,27,30,19,21,6,2,246,1,1,4,13,38,32,44,37,28,33,8,7,252,2,0,2,13,28,45,38,50,33,30,8,3,266,1,0,9,18,38,32,40,38,41,35,10,4
,,중상자수,105,2,,0,1,11,16,24,16,21,9,5,0,84,0,,1,7,14,14,10,18,10,6,3,1,102,0,0,1,6,14,8,19,19,13,13,5,4,103,1,0,1,5,8,15,11,25,16,15,5,1,86,0,0,2,7,11,4,15,10,14,17,6,0
,,경상자수,103,0,,1,6,8,15,17,19,13,18,5,1,88,2,,0,4,15,17,13,12,8,13,3,1,139,1,1,3,7,23,24,23,17,14,20,3,3,132,1,0,1,7,17,22,25,25,17,13,3,1,165,1,0,5,11,24,24,23,27,24,18,4,4
,,부상신고자수,5,0,,0,0,2,0,0,0,1,2,0,0,12,0,,1,0,2,2,4,0,1,2,0,0,5,0,0,0,0,1,0,2,1,1,0,0,0,17,0,0,0,1,3,8,2,0,0,2,0,1,15,0,0,2,0,3,4,2,1,3,0,0,0
,청원군,사고건수,62,2,,1,3,11,8,7,8,6,9,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,사망자수,10,2,,0,0,2,0,1,1,2,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,부상자수,61,0,,1,4,13,8,7,8,5,9,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,중상자수,27,0,,0,2,4,5,4,4,4,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,경상자수,34,0,,1,2,9,3,3,4,1,7,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,부상신고자수,0,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,보은군,사고건수,53,,,1,3,3,8,7,11,14,4,,2,40,,,,2,8,11,8,3,6,1,1,,49,,,1,4,4,10,9,9,6,6,,,57,,,,1,8,7,9,13,9,6,4,,64,,,1,3,7,20,10,5,12,3,2,1
,,사망자수,5,,,1,1,0,0,0,2,0,1,,0,3,,,,0,0,0,2,0,1,0,0,,4,,,0,0,0,2,1,0,0,1,,,7,,,,0,0,2,3,0,0,2,0,,1,,,0,0,0,0,0,0,0,0,1,0
,,부상자수,56,,,0,2,3,8,11,10,17,3,,2,52,,,,2,9,13,15,3,8,1,1,,59,,,1,5,4,10,13,12,8,6,,,61,,,,1,12,5,9,16,10,4,4,,77,,,1,3,8,28,15,5,12,3,1,1
,,중상자수,39,,,0,2,3,6,4,10,9,3,,2,25,,,,2,7,3,5,2,4,1,1,,26,,,1,0,2,6,4,5,4,4,,,26,,,,0,8,2,2,4,5,3,2,,49,,,1,3,6,17,8,2,7,3,1,1
,,경상자수,17,,,0,0,0,2,7,0,8,0,,0,27,,,,0,2,10,10,1,4,0,0,,30,,,0,3,2,4,9,6,4,2,,,34,,,,1,4,3,6,12,5,1,2,,28,,,0,0,2,11,7,3,5,0,0,0
,,부상신고자수,0,,,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,3,,,0,2,0,0,0,1,0,0,,,1,,,,0,0,0,1,0,0,0,0,,0,,,0,0,0,0,0,0,0,0,0,0
,옥천군,사고건수,78,,1,1,8,9,16,11,14,9,7,2,,70,,,1,8,6,8,14,9,11,8,5,,68,,2,1,6,10,6,10,14,7,5,5,2,84,,,1,7,10,15,11,9,15,9,6,1,82,,,2,6,20,16,8,13,12,4,1,
,,사망자수,3,,0,0,0,1,1,1,0,0,0,0,,6,,,0,1,0,0,1,1,2,1,0,,4,,1,0,0,0,0,1,2,0,0,0,0,4,,,0,1,0,0,1,1,0,0,1,0,6,,,0,2,0,0,1,0,0,2,1,
,,부상자수,96,,1,2,9,20,17,11,16,11,7,2,,71,,,1,9,6,9,13,11,10,7,5,,78,,1,1,6,11,7,11,17,9,7,6,2,91,,,1,6,11,19,12,10,17,9,5,1,84,,,2,5,21,18,7,16,13,2,0,
,,중상자수,64,,0,1,7,13,13,7,10,6,6,1,,43,,,1,9,5,2,8,5,6,5,2,,46,,0,0,3,8,6,4,10,5,4,4,2,50,,,0,6,7,9,7,5,9,3,3,1,40,,,2,1,9,9,4,9,5,1,0,
,,경상자수,27,,1,1,1,7,4,3,4,5,1,0,,27,,,0,0,1,7,5,6,3,2,3,,30,,1,0,3,3,1,7,6,4,3,2,0,38,,,1,0,4,10,5,5,6,5,2,0,42,,,0,4,11,9,3,7,7,1,0,
,,부상신고자수,5,,0,0,1,0,0,1,2,0,0,1,,1,,,0,0,0,0,0,0,1,0,0,,2,,0,1,0,0,0,0,1,0,0,0,0,3,,,0,0,0,0,0,0,2,1,0,0,2,,,0,0,1,0,0,0,1,0,0,
,영동군,사고건수,58,,,,3,8,9,14,7,9,5,2,1,65,,,,3,10,16,10,7,10,8,1,,67,,,1,2,12,10,12,11,8,6,3,2,72,,,,5,15,12,9,10,7,10,3,1,54,,,,3,8,15,8,8,5,6,1,
,,사망자수,8,,,,1,0,1,2,1,0,2,0,1,6,,,,0,1,0,1,1,0,3,0,,5,,,1,0,1,1,0,0,0,1,1,0,2,,,,0,1,1,0,0,0,0,0,0,3,,,,0,1,0,0,0,1,0,1,
,,부상자수,59,,,,2,9,8,15,7,12,4,2,0,76,,,,10,13,18,11,6,12,5,1,,72,,,0,7,11,9,13,14,9,5,2,2,81,,,,5,21,13,9,12,7,10,3,1,56,,,,3,7,18,10,8,4,6,0,
,,중상자수,39,,,,2,6,4,10,5,9,1,2,0,45,,,,7,4,10,9,3,8,4,0,,37,,,0,3,8,4,7,6,4,3,1,1,39,,,,1,8,6,2,7,6,8,1,0,45,,,,3,5,12,10,5,4,6,0,
,,경상자수,14,,,,0,2,2,5,2,2,1,0,0,29,,,,3,9,7,2,3,4,0,1,,34,,,0,4,3,5,5,8,5,2,1,1,38,,,,4,10,7,6,5,1,2,2,1,10,,,,0,1,6,0,3,0,0,0,
,,부상신고자수,6,,,,0,1,2,0,0,1,2,0,0,2,,,,0,0,1,0,0,0,1,0,,1,,,0,0,0,0,1,0,0,0,0,0,4,,,,0,3,0,1,0,0,0,0,0,1,,,,0,1,0,0,0,0,0,0,
,진천군,사고건수,57,2,,2,1,5,11,13,8,5,7,3,,74,,,1,3,15,15,7,13,12,6,1,1,90,1,,1,7,11,15,10,12,15,14,3,1,113,1,,3,8,13,13,19,17,19,15,3,2,97,1,,,11,15,16,12,17,15,6,3,1
,,사망자수,2,0,,1,0,0,0,1,0,0,0,0,,2,,,0,0,0,1,0,0,0,1,0,0,6,0,,0,1,0,2,0,0,2,1,0,0,4,0,,0,0,0,1,1,1,0,1,0,0,9,0,,,1,1,2,1,2,1,0,0,1
,,부상자수,62,2,,1,1,5,14,14,10,5,7,3,,80,,,1,3,17,17,7,15,13,5,1,1,97,2,,1,8,15,16,11,12,14,14,3,1,122,1,,3,13,16,12,18,19,21,14,3,2,98,1,,,11,17,15,11,18,16,6,3,0
,,중상자수,38,1,,1,0,4,6,10,8,2,3,3,,39,,,1,2,6,6,4,10,7,3,0,0,51,2,,1,7,8,4,8,8,5,5,2,1,49,0,,2,5,5,5,9,5,8,7,1,2,49,0,,,4,8,10,4,12,8,2,1,0
,,경상자수,24,1,,0,1,1,8,4,2,3,4,0,,40,,,0,1,10,11,3,5,6,2,1,1,46,0,,0,1,7,12,3,4,9,9,1,0,73,1,,1,8,11,7,9,14,13,7,2,0,47,1,,,7,8,4,7,6,8,4,2,0
,,부상신고자수,0,0,,0,0,0,0,0,0,0,0,0,,1,,,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2,0,,,0,1,1,0,0,0,0,0,0
,괴산군,사고건수,49,1,,1,2,8,7,10,3,11,5,1,,46,,,,1,4,3,11,6,13,5,2,1,65,1,1,1,4,3,18,8,15,8,5,,1,64,,1,,1,6,14,10,12,6,10,4,,93,,1,,4,10,24,12,13,15,12,2,
,,사망자수,3,1,,0,0,0,1,0,0,1,0,0,,8,,,,0,0,0,0,0,4,3,1,0,6,0,0,0,0,0,1,0,4,0,0,,1,6,,0,,0,1,1,1,0,0,2,1,,5,,0,,0,0,1,2,0,1,1,0,
,,부상자수,50,0,,1,2,11,7,10,3,10,5,1,,48,,,,1,4,3,14,12,10,2,1,1,71,1,1,1,4,3,19,10,17,9,6,,0,81,,1,,1,10,22,12,15,7,10,3,,116,,1,,6,11,32,13,21,16,14,2,
,,중상자수,21,0,,0,2,6,3,3,1,2,4,0,,19,,,,0,3,0,5,5,5,0,1,0,42,1,1,1,2,2,14,5,7,5,4,,0,31,,0,,1,3,8,5,4,1,7,2,,54,,0,,5,3,15,5,14,4,7,1,
,,경상자수,21,0,,0,0,5,4,5,1,5,0,1,,22,,,,1,0,2,8,6,4,1,0,0,26,0,0,0,2,1,4,4,10,3,2,,0,47,,1,,0,7,13,7,10,5,3,1,,57,,1,,1,8,15,8,6,10,7,1,
,,부상신고자수,8,0,,1,0,0,0,2,1,3,1,0,,7,,,,0,1,1,1,1,1,1,0,1,3,0,0,0,0,0,1,1,0,1,0,,0,3,,0,,0,0,1,0,1,1,0,0,,5,,0,,0,0,2,0,1,2,0,0,
,음성군,사고건수,98,,,1,2,10,14,22,19,13,13,3,1,127,1,1,6,8,19,13,17,19,21,18,3,1,119,,1,2,8,13,13,26,12,16,16,10,2,112,2,,1,14,16,21,16,13,14,10,4,1,148,1,,1,10,18,20,28,25,13,23,8,1
,,사망자수,10,,,0,0,2,0,2,1,1,3,1,0,16,0,0,0,1,2,2,4,1,4,1,1,0,13,,0,0,0,1,1,4,1,4,0,0,2,10,0,,0,2,1,0,2,2,0,2,1,0,7,0,,0,2,0,1,1,1,1,1,0,0
,,부상자수,113,,,1,2,12,20,23,20,12,19,3,1,155,1,1,7,28,24,13,15,21,17,25,2,1,129,,1,2,12,13,14,27,14,18,17,11,0,122,2,,1,16,18,25,18,13,15,9,4,1,168,1,,1,8,19,24,33,25,15,31,10,1
,,중상자수,59,,,1,0,7,12,13,7,9,7,2,1,80,0,1,7,14,14,7,9,7,7,11,2,1,71,,0,1,10,6,11,16,8,9,7,3,0,61,2,,0,5,10,14,11,7,6,5,0,1,88,1,,1,6,15,11,17,12,8,14,3,0
,,경상자수,54,,,0,2,5,8,10,13,3,12,1,0,65,0,0,0,14,7,5,5,14,9,11,0,0,54,,1,1,2,7,3,9,6,7,10,8,0,60,0,,1,11,8,10,7,6,9,4,4,0,73,0,,0,2,3,13,16,12,7,12,7,1
,,부상신고자수,0,,,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,3,1,1,0,1,3,0,0,4,,0,0,0,0,0,2,0,2,0,0,0,1,0,,0,0,0,1,0,0,0,0,0,0,7,0,,0,0,1,0,0,1,0,5,0,0
,단양군,사고건수,36,,1,,1,7,6,6,5,6,4,,,41,,,,2,7,9,3,8,8,1,1,2,30,,,,2,4,5,3,9,2,3,1,1,33,,,,1,6,3,6,8,7,1,1,,36,,,,,1,6,8,6,6,7,2,
,,사망자수,2,,0,,0,0,1,1,0,0,0,,,4,,,,1,1,0,0,0,1,0,1,0,3,,,,0,1,0,1,1,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,3,,,,,0,0,0,1,0,1,1,
