시도,시군구,구분,2014,,,,,,,,,,,,,2015,,,,,,,,,,,,,2016,,,,,,,,,,,,,2017,,,,,,,,,,,,,2018,,,,,,,,,,,,
,,,합계,01월,02월,03월,04월,05월,06월,07월,08월,09월,10월,11월,12월,합계,01월,02월,03월,04월,05월,06월,07월,08월,09월,10월,11월,12월,합계,01월,02월,03월,04월,05월,06월,07월,08월,09월,10월,11월,12월,합계,01월,02월,03월,04월,05월,06월,07월,08월,09월,10월,11월,12월,합계,01월,02월,03월,04월,05월,06월,07월,08월,09월,10월,11월,12월
,,부상자수,35,1,4,4,5,,1,3,2,7,4,3,1,30,1,1,4,3,5,3,1,3,2,4,0,3,24,2,,2,4,0,5,5,1,1,1,1,2,29,3,3,0,2,2,2,1,4,4,2,4,2,19,,2,1,,5,1,4,2,1,2,0,1
,,중상자수,18,1,3,3,4,,0,0,0,2,1,3,1,20,0,0,3,3,2,2,1,3,1,3,0,2,12,0,,1,2,0,3,2,1,1,1,0,1,19,3,2,0,1,2,2,1,2,0,2,3,1,5,,1,0,,1,1,0,1,1,0,0,0
,,경상자수,12,0,1,0,1,,1,1,2,5,1,0,0,9,1,1,0,0,3,1,0,0,1,1,0,1,10,2,,1,2,0,2,1,0,0,0,1,1,10,0,1,0,1,0,0,0,2,4,0,1,1,13,,1,1,,4,0,3,1,0,2,0,1
,,부상신고자수,5,0,0,1,0,,0,2,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,,0,0,1,0,0,0,0,0
,인제군,사고건수,23,,2,1,,2,4,1,3,2,5,3,,19,,2,,,1,,6,2,2,5,1,,43,,2,3,4,4,4,7,3,5,5,3,3,31,5,3,1,2,4,3,,5,2,,3,3,22,2,1,2,3,2,2,2,2,1,1,,4
,,사망자수,2,,0,1,,0,0,0,0,0,0,1,,2,,0,,,0,,0,0,0,1,1,,2,,0,0,0,0,0,1,0,0,0,0,1,3,1,0,0,0,1,0,,1,0,,0,0,3,0,0,2,1,0,0,0,0,0,0,,0
,,부상자수,31,,2,0,,4,6,1,3,2,11,2,,34,,2,,,1,,11,2,2,16,0,,51,,2,3,6,5,6,8,4,5,7,3,2,34,4,3,1,3,3,5,,5,3,,3,4,31,5,1,1,3,3,3,2,3,1,4,,5
,,중상자수,18,,1,0,,3,3,1,2,2,4,2,,15,,1,,,0,,4,2,2,6,0,,22,,0,2,4,1,2,6,1,3,3,0,0,16,3,1,0,1,0,2,,4,2,,1,2,16,1,1,1,3,2,2,1,2,0,0,,3
,,경상자수,11,,1,0,,1,3,0,1,0,5,0,,14,,1,,,1,,2,0,0,10,0,,27,,1,1,2,4,4,1,3,2,4,3,2,18,1,2,1,2,3,3,,1,1,,2,2,15,4,0,0,0,1,1,1,1,1,4,,2
,,부상신고자수,2,,0,0,,0,0,0,0,0,2,0,,5,,0,,,0,,5,0,0,0,0,,2,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,고성군,사고건수,37,2,1,2,4,2,1,5,5,3,3,6,3,43,5,3,5,2,4,3,5,2,3,7,4,,29,,2,2,1,4,5,2,2,2,4,4,1,23,2,,4,1,5,1,3,2,2,1,2,,39,3,3,2,3,2,3,7,8,3,1,3,1
,,사망자수,5,0,0,1,1,0,0,0,0,1,1,1,0,4,0,2,0,0,1,0,0,0,0,1,0,,1,,0,0,0,0,1,0,0,0,0,0,0,3,0,,0,0,0,0,2,1,0,0,0,,5,0,0,0,1,0,0,0,2,1,0,0,1
,,부상자수,44,5,1,1,5,2,1,6,6,2,7,5,3,50,10,2,5,2,3,3,5,3,3,9,5,,39,,3,3,1,6,5,3,3,2,5,6,2,20,2,,4,1,5,1,1,1,2,1,2,,49,3,4,2,3,5,7,8,6,6,1,4,0
,,중상자수,20,1,1,1,1,2,0,1,2,0,5,5,1,21,2,1,3,0,1,2,1,1,2,4,4,,12,,1,1,0,3,1,2,0,0,2,2,0,7,1,,0,0,3,0,0,0,1,1,1,,18,0,2,1,1,1,1,3,1,6,0,2,0
,,경상자수,24,4,0,0,4,0,1,5,4,2,2,0,2,29,8,1,2,2,2,1,4,2,1,5,1,,25,,2,2,1,3,4,1,3,2,2,3,2,11,1,,3,1,2,1,1,1,1,0,0,,26,2,2,0,2,4,6,5,3,0,1,1,0
,,부상신고자수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,,0,0,0,0,0,0,0,0,1,1,0,2,0,,1,0,0,0,0,0,0,0,1,,5,1,0,1,0,0,0,0,2,0,0,1,0
,양양군,사고건수,36,4,2,,1,4,4,,4,4,7,3,3,53,3,3,2,3,9,4,3,6,5,6,2,7,33,3,3,1,3,1,3,2,3,1,6,4,3,32,4,2,4,1,2,2,6,1,1,5,2,2,39,,2,4,2,3,1,5,5,8,4,3,2
,,사망자수,1,0,0,,0,0,0,,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,1,0,6,,0,0,0,0,1,0,1,3,1,0,0
,,부상자수,55,6,3,,1,4,7,,6,4,17,3,4,62,3,7,3,4,8,4,4,6,5,10,1,7,38,4,5,1,4,1,3,2,4,1,5,5,3,39,5,2,4,1,2,3,8,2,1,7,1,3,57,,7,4,3,7,0,5,6,13,5,5,2
,,중상자수,24,1,0,,0,3,5,,4,2,5,1,3,19,1,2,0,0,3,1,3,2,1,3,1,2,12,1,1,0,2,1,0,2,1,0,2,2,0,12,0,0,2,0,0,1,4,0,0,4,0,1,21,,3,2,2,4,0,3,1,1,2,2,1
,,경상자수,22,5,3,,1,1,2,,2,2,3,2,1,43,2,5,3,4,5,3,1,4,4,7,0,5,24,3,4,1,1,0,2,0,3,1,3,3,3,27,5,2,2,1,2,2,4,2,1,3,1,2,32,,4,2,1,3,0,2,5,9,2,3,1
,,부상신고자수,9,0,0,,0,0,0,,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,0,0,0,0,0,0,0,3,1,0,0
충북,합계,사고건수,1477,91,87,85,117,164,113,127,149,147,161,135,101,1613,88,81,115,148,156,119,126,140,170,172,157,141,1707,123,97,121,155,139,153,145,160,156,175,147,136,1817,109,104,137,140,182,161,137,174,190,165,189,129,1936,119,133,139,142,156,166,184,199,168,182,203,145
,,사망자수,96,8,6,4,6,7,8,8,10,14,8,7,10,101,8,3,5,11,5,6,7,7,15,16,9,9,97,8,4,5,9,8,7,12,7,10,12,6,9,89,3,10,6,5,10,5,5,11,13,9,8,4,85,7,4,3,3,10,9,9,12,6,7,8,7
,,부상자수,1625,96,91,99,124,175,123,130,161,157,199,157,113,1782,90,95,136,159,178,134,132,156,174,182,189,157,1887,136,104,132,171,151,176,159,188,175,185,167,143,2029,122,105,148,161,196,178,170,206,203,192,207,141,2138,139,144,159,156,171,179,210,208,177,201,227,167
,,중상자수,852,56,47,48,63,82,68,77,90,92,97,69,63,849,51,50,65,75,83,52,59,78,91,84,88,73,836,61,52,49,76,68,66,71,90,81,80,75,67,835,56,49,61,59,94,74,75,90,70,72,76,59,914,51,63,66,59,76,82,82,101,73,92,102,67
,,경상자수,720,39,39,50,56,87,52,49,69,59,94,79,47,826,36,39,63,69,90,73,67,64,69,87,95,74,971,71,48,79,89,74,101,83,90,84,98,86,68,1089,56,51,80,94,96,100,89,103,114,108,122,76,1149,85,79,84,89,90,87,118,101,98,102,119,97
,,부상신고자수,53,1,5,1,5,6,3,4,2,6,8,9,3,107,3,6,8,15,5,9,6,14,14,11,6,10,80,4,4,4,6,9,9,5,8,10,7,6,8,105,10,5,7,8,6,4,6,13,19,12,9,6,75,3,2,9,8,5,10,10,6,6,7,6,3
,청주시,사고건수,541,33,25,22,31,46,47,55,53,65,58,58,48,672,38,29,56,49,59,48,53,68,76,59,76,61,693,60,43,53,63,45,58,58,60,64,80,55,54,741,49,45,70,57,70,61,46,60,75,64,90,54,785,50,47,57,55,65,68,74,77,65,78,86,63
,,사망자수,31,2,1,2,0,0,1,2,3,8,5,2,5,29,2,0,2,3,2,1,2,3,3,5,3,3,24,4,2,2,1,1,2,1,0,2,5,2,2,29,2,2,2,1,2,2,2,1,5,4,3,3,30,4,2,0,1,4,3,2,4,1,3,3,3
,,부상자수,583,34,26,24,33,51,54,54,59,64,71,65,48,710,37,32,67,54,60,55,55,72,76,55,84,63,764,67,48,56,69,47,67,68,71,71,83,61,56,801,56,49,72,67,77,64,51,69,77,66,96,57,863,60,51,65,56,71,74,87,81,67,86,100,65
,,중상자수,272,13,10,4,10,22,31,28,33,37,32,22,30,321,21,16,25,23,20,21,23,31,41,28,35,37,321,31,28,20,25,18,23,32,27,34,33,29,21,315,24,20,26,24,36,22,20,27,32,23,37,24,321,17,18,24,23,30,29,27,42,17,34,39,21
,,경상자수,303,21,16,20,23,26,23,25,25,26,39,42,17,370,16,16,40,27,40,33,32,38,33,27,46,22,419,35,19,35,42,28,40,35,42,35,45,31,32,458,29,27,43,42,39,40,29,41,39,41,58,30,525,41,33,41,32,40,40,56,37,50,51,61,43
,,부상신고자수,8,0,0,0,0,3,0,1,1,1,0,1,1,19,0,0,2,4,0,1,0,3,2,0,3,4,24,1,1,1,2,1,4,1,2,2,5,1,3,28,3,2,3,1,2,2,2,1,6,2,1,3,17,2,0,0,1,1,5,4,2,0,1,0,1
,충주시,사고건수,224,10,18,16,20,28,10,22,24,16,30,20,10,270,19,17,14,30,28,21,24,22,31,27,17,20,258,19,15,15,24,22,21,28,22,24,21,34,13,278,11,14,22,28,34,14,24,32,33,23,29,14,295,21,22,19,19,22,24,26,29,33,36,22,22
,,사망자수,14,1,1,0,0,0,1,4,2,2,2,1,0,18,2,2,1,2,1,1,2,1,3,1,0,2,21,1,1,0,2,2,2,3,0,4,2,2,2,21,0,2,1,3,4,0,1,3,5,1,1,0,12,0,1,0,0,3,3,2,0,1,0,1,1
,,부상자수,242,11,20,19,23,31,10,19,23,16,34,22,14,310,20,22,16,33,35,23,25,24,39,30,22,21,279,21,15,19,25,21,21,30,26,24,22,44,11,312,13,12,24,27,36,15,36,36,34,31,32,16,315,23,24,21,23,21,23,28,30,36,39,23,24
,,중상자수,137,7,9,10,16,18,9,8,11,5,21,13,10,153,10,12,12,17,21,7,12,9,20,12,11,10,110,7,7,6,13,10,9,5,12,10,7,18,6,108,3,3,10,8,15,5,11,19,10,8,9,7,134,9,8,6,9,5,12,15,11,19,19,11,10
,,경상자수,87,3,8,8,6,11,1,9,12,9,9,7,4,109,8,7,4,10,11,9,10,7,13,14,9,7,135,11,7,12,10,5,11,21,9,10,13,22,4,161,7,6,12,15,18,8,23,13,15,16,20,8,158,14,15,9,12,14,8,12,17,15,17,12,13
,,부상신고자수,18,1,3,1,1,2,0,2,0,2,4,2,0,48,2,3,0,6,3,7,3,8,6,4,2,4,34,3,1,1,2,6,1,4,5,4,2,4,1,43,3,3,2,4,3,2,2,4,9,7,3,1,23,0,1,6,2,2,3,1,2,2,3,0,1
,제천시,사고건수,188,11,12,8,15,23,15,21,21,10,23,18,11,159,9,8,13,22,22,10,9,11,15,16,14,10,214,15,12,16,15,12,31,12,23,19,21,15,23,209,11,10,8,16,23,23,15,24,23,19,20,17,234,20,17,17,17,16,23,23,25,24,17,21,14
,,사망자수,8,0,1,1,1,0,2,0,0,0,0,1,2,5,0,0,0,1,2,0,0,0,1,0,1,0,11,1,0,1,2,0,0,1,0,1,2,0,3,6,0,2,0,0,0,1,0,1,0,1,1,0,8,1,0,1,0,0,1,1,1,2,0,0,1
,,부상자수,213,11,13,8,14,26,16,25,24,11,30,23,12,184,11,10,15,22,25,11,11,13,15,20,16,15,246,16,14,16,15,16,42,11,31,21,22,19,23,252,11,9,9,20,28,27,20,40,25,23,20,20,266,21,18,23,21,19,24,26,26,28,18,24,18
,,중상자수,105,8,7,3,10,13,4,14,12,6,12,9,7,84,8,6,7,9,10,3,8,10,7,8,5,3,102,5,3,7,7,5,17,6,18,7,7,9,11,103,5,2,5,9,15,12,9,15,7,10,8,6,86,6,6,8,4,8,8,8,6,13,5,9,5
,,경상자수,103,3,6,5,4,12,12,11,12,5,17,11,5,88,2,3,6,11,15,8,3,3,6,8,11,12,139,11,11,9,8,11,24,5,12,12,15,9,12,132,3,7,3,9,13,15,11,20,15,13,11,12,165,14,12,14,14,10,15,16,18,13,12,14,13
,,부상신고자수,5,0,0,0,0,1,0,0,0,0,1,3,0,12,1,1,2,2,0,0,0,0,2,4,0,0,5,0,0,0,0,0,1,0,1,2,0,1,0,17,3,0,1,2,0,0,0,5,3,0,1,2,15,1,0,1,3,1,1,2,2,2,1,1,0
,청원군,사고건수,62,6,11,7,12,18,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,사망자수,10,1,2,0,3,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,부상자수,61,6,10,7,12,16,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,중상자수,27,2,6,3,3,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,경상자수,34,4,4,4,9,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,부상신고자수,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,보은군,사고건수,53,5,1,8,2,8,3,3,3,7,6,5,2,40,1,1,3,2,5,2,3,2,4,7,4,6,49,3,3,3,4,9,4,5,2,5,6,2,3,57,4,4,,2,5,6,6,7,8,7,6,2,64,1,3,3,4,3,8,8,9,4,7,9,5
,,사망자수,5,1,0,1,0,2,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,0,4,1,0,0,0,2,0,1,0,0,0,0,0,7,0,1,,0,0,1,0,2,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
,,부상자수,56,4,1,9,2,8,3,3,4,7,7,5,3,52,1,1,7,2,9,2,4,2,4,12,2,6,59,2,3,3,6,12,4,4,3,8,8,2,4,61,5,3,,2,5,8,7,5,11,7,6,2,77,1,4,3,4,3,11,11,10,5,8,11,6
,,중상자수,39,4,1,7,1,5,0,3,4,5,5,3,1,25,0,0,4,2,5,1,2,1,1,3,0,6,26,1,1,0,4,3,1,2,0,6,4,1,3,26,1,3,,0,3,6,3,3,1,4,2,0,49,1,3,1,1,2,7,4,7,3,8,9,3
,,경상자수,17,0,0,2,1,3,3,0,0,2,2,2,2,27,1,1,3,0,4,1,2,1,3,9,2,0,30,1,2,3,1,7,3,2,3,2,4,1,1,34,3,0,,2,2,2,4,2,10,3,4,2,28,0,1,2,3,1,4,7,3,2,0,2,3
,,부상신고자수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,옥천군,사고건수,78,4,6,6,9,5,9,8,6,6,5,11,3,70,2,4,4,9,8,4,9,4,4,10,7,5,68,,8,6,4,7,7,6,7,8,6,3,6,84,4,4,7,4,5,9,6,9,9,9,8,10,82,4,2,5,8,6,8,10,7,7,8,11,6
,,사망자수,3,0,0,0,0,0,1,0,1,0,0,1,0,6,1,0,0,0,0,1,1,0,0,3,0,0,4,,0,0,0,0,1,1,0,1,1,0,0,4,0,0,1,0,0,0,1,1,0,0,1,0,6,0,0,0,0,0,0,2,0,1,2,1,0
,,부상자수,96,5,7,12,11,5,10,9,7,7,5,15,3,71,2,6,4,9,9,3,9,4,4,8,7,6,78,,8,7,9,8,8,7,7,10,5,3,6,91,4,5,7,4,6,10,7,9,11,9,9,10,84,4,2,5,8,8,8,8,7,7,9,10,8
,,중상자수,64,2,5,11,8,2,9,7,3,5,2,8,2,43,1,1,2,9,7,3,2,2,3,6,3,4,46,,4,5,4,5,5,4,6,6,3,2,2,50,1,2,4,2,6,7,3,4,6,6,4,5,40,1,1,3,4,2,4,5,5,3,5,5,2
,,경상자수,27,3,1,1,1,3,1,2,4,2,2,6,1,27,1,5,2,0,2,0,6,2,1,2,4,2,30,,3,2,5,3,3,3,1,4,2,1,3,38,3,3,3,2,0,3,4,4,5,3,3,5,42,3,1,2,2,6,4,3,2,4,4,5,6
,,부상신고자수,5,0,1,0,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0
,영동군,사고건수,58,3,2,3,8,4,5,3,5,10,5,5,5,65,6,6,4,3,6,4,,7,7,9,8,5,67,,5,6,8,7,6,4,6,9,7,4,5,72,6,3,6,2,6,7,8,7,6,9,8,4,54,2,4,4,4,7,3,5,5,4,3,9,4
,,사망자수,8,0,0,0,0,0,2,1,2,0,1,2,0,6,0,0,0,1,0,0,,2,2,0,1,0,5,,1,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,1,0,0,1,1,0,0,0,0
,,부상자수,59,3,2,3,8,4,4,3,4,12,4,3,9,76,7,8,5,2,7,4,,7,5,17,9,5,72,,4,7,8,7,4,3,9,9,10,4,7,81,6,3,7,3,5,8,7,7,7,14,8,6,56,2,5,5,5,7,3,5,4,4,3,9,4
,,중상자수,39,3,2,2,4,2,1,3,4,9,3,1,5,45,3,5,3,2,4,3,,3,5,9,8,0,37,,3,2,5,4,2,2,3,6,5,1,4,39,3,1,3,2,1,4,5,4,2,5,6,3,45,2,5,5,3,6,3,2,3,3,3,7,3
,,경상자수,14,0,0,1,3,2,2,0,0,2,0,1,3,29,4,3,1,0,3,1,,3,0,8,1,5,34,,1,4,3,3,2,1,6,3,5,3,3,38,3,2,3,1,4,4,2,3,5,6,2,3,10,0,0,0,2,1,0,3,1,1,0,1,1
,,부상신고자수,6,0,0,0,1,0,1,0,0,1,1,1,1,2,0,0,1,0,0,0,,1,0,0,0,0,1,,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
,진천군,사고건수,57,5,1,1,2,8,5,3,6,6,10,5,5,74,2,2,2,6,9,7,8,8,4,12,10,4,90,8,4,4,10,10,6,7,11,4,7,10,9,113,7,10,4,6,10,14,7,9,12,12,15,7,97,3,8,7,10,7,8,7,12,12,7,10,6
,,사망자수,2,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1,0,6,0,0,1,1,2,0,0,1,0,1,0,0,4,1,1,0,0,0,0,0,1,1,0,0,0,9,0,0,0,1,1,0,1,3,0,2,1,0
,,부상자수,62,7,1,1,2,8,6,3,6,5,12,6,5,80,4,2,2,6,11,7,8,9,5,12,10,4,97,9,5,4,10,9,7,8,10,5,7,11,12,122,6,11,5,6,10,16,7,8,12,13,21,7,98,4,8,8,10,9,8,8,11,12,5,9,6
,,중상자수,38,6,1,1,1,5,5,3,3,3,4,5,1,39,4,1,1,5,6,2,3,5,2,5,5,0,51,4,3,2,6,5,1,5,6,1,6,5,7,49,3,8,0,2,4,5,5,5,3,4,7,3,49,3,3,5,1,8,5,4,6,3,3,5,3
,,경상자수,24,1,0,0,1,3,1,0,3,2,8,1,4,40,0,1,0,1,5,5,5,4,3,7,5,4,46,5,2,2,4,4,6,3,4,4,1,6,5,73,3,3,5,4,6,11,2,3,9,9,14,4,47,1,4,3,9,1,3,4,5,9,2,3,3
,,부상신고자수,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0
,괴산군,사고건수,49,1,4,3,5,7,2,2,9,4,4,5,3,46,,1,3,4,4,3,4,3,6,6,7,5,65,5,2,4,6,7,3,5,11,5,8,5,4,64,4,4,4,4,7,5,7,7,7,5,4,6,93,5,10,8,6,8,8,8,11,8,7,7,7
,,사망자수,3,1,1,0,0,1,0,0,0,0,0,0,0,8,,0,1,0,0,1,1,0,2,2,0,1,6,1,0,1,1,0,0,0,2,1,0,0,0,6,0,1,0,0,0,0,0,2,2,0,1,0,5,0,1,0,0,1,0,0,1,0,0,0,2
,,부상자수,50,0,3,3,6,6,2,2,11,4,4,6,3,48,,1,2,4,5,2,3,3,4,5,12,7,71,4,2,3,6,10,4,5,10,8,8,6,5,81,6,3,5,7,8,6,8,10,5,12,4,7,116,11,10,11,6,9,9,9,14,8,8,9,12
,,중상자수,21,0,1,1,3,3,0,1,6,0,3,2,1,19,,0,1,2,0,1,1,1,1,3,6,3,42,3,1,2,4,7,0,3,5,3,6,5,3,31,4,3,4,1,5,0,4,4,1,1,2,2,54,3,5,5,4,1,3,4,6,6,3,5,9
,,경상자수,21,0,1,2,2,3,1,0,4,2,1,3,2,22,,0,1,1,4,1,2,1,2,1,6,3,26,1,0,1,2,3,3,2,5,5,2,1,1,47,2,0,1,6,2,6,4,6,3,11,1,5,57,8,5,5,2,7,5,5,8,1,4,4,3
,,부상신고자수,8,0,1,0,1,0,1,1,1,2,0,1,0,7,,1,0,1,1,0,0,1,1,1,0,1,3,0,1,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,1,0,1,0,5,0,0,1,0,1,1,0,0,1,1,0,0
,음성군,사고건수,98,8,4,7,8,8,5,7,13,11,14,5,8,127,7,5,7,14,10,13,9,9,13,17,8,15,119,6,2,10,13,8,9,15,10,10,12,12,12,112,7,4,9,14,14,10,8,9,11,7,7,12,148,9,13,8,13,12,10,18,16,10,15,16,8
,,사망자수,10,1,0,0,2,0,1,0,2,2,0,0,2,16,2,0,0,3,0,1,1,1,2,3,1,2,13,0,0,0,2,1,0,3,3,0,1,2,1,10,0,1,2,1,3,1,0,0,0,0,1,1,7,2,0,0,0,0,1,0,1,1,0,2,0
,,부상자수,113,10,4,9,7,8,4,9,11,10,25,7,9,155,5,5,10,16,11,17,10,14,13,14,21,19,129,10,2,12,13,8,9,18,13,11,12,10,11,122,7,4,10,17,13,9,12,9,14,7,7,13,168,8,15,8,15,14,13,23,15,9,20,18,10
,,중상자수,59,7,2,4,3,1,2,8,5,8,11,4,4,80,2,2,6,5,8,10,5,10,7,5,12,8,71,6,1,5,4,5,6,10,10,5,6,4,9,61,6,2,4,7,6,3,9,5,5,6,1,7,88,6,10,5,8,8,7,10,9,5,9,7,4
,,경상자수,54,3,2,5,4,7,2,1,6,2,14,3,5,65,3,3,4,10,2,6,3,3,5,7,9,10,54,4,1,7,9,3,2,8,3,4,6,6,1,60,1,2,6,9,7,6,3,4,9,1,6,6,73,2,5,3,7,6,6,10,6,3,11,9,5
,,부상신고자수,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,1,1,2,1,1,2,0,1,4,0,0,0,0,0,1,0,0,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,1,0,2,1
,단양군,사고건수,36,4,2,1,2,4,1,2,5,8,3,1,3,41,,4,2,3,2,1,6,3,5,5,5,5,30,1,1,1,5,2,3,3,3,5,3,,3,33,2,2,4,4,1,6,6,4,2,2,,,36,1,3,7,2,4,3,1,4,,2,6,3
,,사망자수,2,1,0,0,0,0,0,1,0,0,0,0,0,4,,1,0,1,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,1,1,0,,1,0,0,0,0,0,0,0,0,0,0,0,,,3,0,0,1,0,1,0,0,1,,0,0,0
,,부상자수,48,3,3,1,3,4,1,2,7,16,4,1,3,47,,3,2,4,2,5,6,5,5,5,5,5,33,1,1,2,6,3,5,3,3,4,3,,2,45,2,2,6,5,1,8,11,6,2,2,,,37,1,3,6,3,3,3,1,4,,3,7,3
,,중상자수,31,3,2,0,1,2,0,2,5,11,3,1,1,21,,3,1,0,1,0,3,4,3,2,3,1,13,0,0,0,4,2,1,2,1,1,1,,1,25,1,2,4,3,1,6,3,2,1,2,,,15,1,1,2,1,0,2,1,3,,2,2,0
,,경상자수,17,0,1,1,2,2,1,0,2,5,1,0,2,26,,0,1,4,1,5,3,1,2,3,2,4,19,1,1,2,2,1,3,1,2,3,2,,1,17,1,0,2,2,0,2,6,3,1,0,,,21,0,2,3,2,3,1,0,1,,1,5,3
,,부상신고자수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,0,3,0,0,0,0,0,0,2,1,0,0,,,1,0,0,1,0,0,0,0,0,,0,0,0
,증평군,사고건수,33,1,1,3,3,5,3,1,4,4,3,2,3,49,4,4,7,6,3,6,1,3,5,4,1,5,54,6,2,3,3,10,5,2,5,3,4,7,4,54,4,4,3,3,7,6,4,6,4,8,2,3,48,3,4,4,4,6,3,4,4,1,2,6,7
,,사망자수,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
,,부상자수,42,2,1,3,3,8,3,1,5,5,3,4,4,49,3,5,6,7,4,5,1,3,4,4,1,6,59,6,2,3,4,10,5,2,5,4,5,7,6,61,6,4,3,3,7,7,4,7,5,8,4,3,58,4,4,4,5,7,3,4,6,1,2,7,11
,,중상자수,20,1,1,2,3,2,1,0,4,3,1,1,1,19,2,4,3,1,1,1,0,2,1,3,0,1,17,4,1,0,0,4,1,0,2,2,2,1,0,28,5,3,1,1,2,4,3,2,2,3,0,2,33,2,3,2,1,6,2,2,3,1,1,3,7
,,경상자수,19,1,0,1,0,6,1,1,1,2,1,3,2,23,1,0,1,5,3,4,1,1,1,1,0,5,39,2,1,2,3,6,4,2,3,2,3,6,5,31,1,1,2,2,5,3,1,4,3,5,3,1,23,2,1,2,4,1,1,2,3,0,0,3,4
,,부상신고자수,3,0,0,0,0,0,1,0,0,0,1,0,1,7,0,1,2,1,0,0,0,0,2,0,1,0,3,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0
충남,합계,사고건수,1796,123,89,135,148,191,156,146,149,173,182,188,116,1990,101,136,156,150,206,183,160,174,205,207,174,138,1983,109,124,147,193,205,172,178,168,147,189,191,160,2137,144,127,172,177,198,188,169,199,208,206,197,152,2109,117,126,154,182,201,158,166,191,207,218,215,174
,,사망자수,165,7,9,11,12,15,13,10,13,22,20,17,16,164,6,15,15,7,12,21,15,17,12,16,16,12,161,10,6,9,17,13,15,10,16,15,13,19,18,145,12,13,9,11,16,11,6,11,14,16,13,13,186,7,12,15,18,13,10,13,11,27,27,16,17
,,부상자수,1940,136,92,145,153,199,158,194,164,170,195,213,121,2111,111,160,153,174,233,182,161,180,220,215,177,145,2129,107,132,158,208,225,193,196,177,157,202,210,164,2423,164,140,190,249,218,201,196,213,222,221,225,184,2232,123,130,158,197,218,171,178,206,210,225,233,183
